"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 23 16:58:31 BDT 2023","Mon Jan 23 16:58:31 BDT 2023","6","Default suite","Default test","testclass.SignUpTesting","testclass.SignUpTesting","quitBrowser","quitBrowser",""
"passed","Mon Jan 23 16:45:39 BDT 2023","Mon Jan 23 16:46:03 BDT 2023","23823","Default suite","Default test","testclass.LoginTesting","testclass.LoginTesting","loginTesting","Login Testing","Login Testing --Allure"
"broken","Sun Jan 22 16:43:52 BDT 2023","Sun Jan 22 16:43:52 BDT 2023","3","Default suite","Default test","testclass.CardIconTesting","testclass.CardIconTesting","quitBrowser","quitBrowser",""
"broken","Sat Jan 21 22:49:12 BDT 2023","Sat Jan 21 22:49:47 BDT 2023","35467","Default suite","Default test","testclass.ScrollTesting","testclass.ScrollTesting","scrollTesting","scrollTesting",""
"passed","Mon Jan 23 01:34:50 BDT 2023","Mon Jan 23 01:35:16 BDT 2023","25379","Suite","Test","testclass.AddToCardBookTesting","testclass.AddToCardBookTesting","addBookCardProcess","Book add into card Testing","Any Book add into card Testing --Allure"
"passed","Mon Jan 23 15:45:31 BDT 2023","Mon Jan 23 15:46:12 BDT 2023","41005","Default suite","Default test","testclass.ScrollAndNextTesting","testclass.ScrollAndNextTesting","scrollAndNextpageTesting","Writer Page Testing","Writer Page Testing --Allure"
"passed","Mon Jan 23 01:36:20 BDT 2023","Mon Jan 23 01:36:48 BDT 2023","27702","Suite","Test","testclass.WriterSelectDropdownTesting","testclass.WriterSelectDropdownTesting","writerSelectDropDown","writerSelectDropDown",""
"broken","Mon Jan 23 17:36:01 BDT 2023","Mon Jan 23 17:36:19 BDT 2023","18729","Default suite","Default test","testclass.SignUpTesting","testclass.SignUpTesting","signupBaseUrl","Signup Testing","Signup Testing --Allure"
"broken","Sun Jan 22 00:56:57 BDT 2023","Sun Jan 22 00:57:32 BDT 2023","35198","Default suite","Default test","testclass.AddToCardBookTesting","testclass.AddToCardBookTesting","addBookCard","addBookCard",""
"passed","Mon Jan 23 01:35:49 BDT 2023","Mon Jan 23 01:36:14 BDT 2023","24981","Suite","Test","testclass.CardIconTesting","testclass.CardIconTesting","cardIconTesting","Card Icon Testing","Card Icon Button Testing --Allure"
"passed","Mon Jan 23 18:22:02 BDT 2023","Mon Jan 23 18:22:35 BDT 2023","33032","Default suite","Default test","testclass.SignupTesting","testclass.SignupTesting","signupTesting","signupTesting",""
